NODENAME,NEIGHBOR_HOSTNAME,Direction,Traffic_Gate,Exchange,NEIGHBORLOCATION
KFRSHK-R40J-KFS-EG,SNDYON-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,SENDEYOUN...KFS
KFRSHK-R40J-KFS-EG,SNDYON-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,SENDEYOUN...KFS
KFRSHK-R40J-KFS-EG,VLG62-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,VILLAGE62...KFS
KFRSHK-R40J-KFS-EG,VLG62-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,VILLAGE62...KFS
KFRSHK-R40J-KFS-EG,VLG62-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,VILLAGE62...KFS
KFRSHK-R40J-KFS-EG,ABSKSH-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,ABBASIAKAFRELSHEIKH...KFS
KFRSHK-R40J-KFS-EG,ABSKSH-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,ABBASIAKAFRELSHEIKH...KFS
KFRSHK-R40J-KFS-EG,SHRKWA41-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,SHARAKWA41...KFS
KFRSHK-R40J-KFS-EG,SHRKWA41-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,SHARAKWA41...KFS
KFRSHK-R40J-KFS-EG,BNIBKR-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,BENIBAKKAR...KFS
KFRSHK-R40J-KFS-EG,BNIBKR-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,BENIBAKKAR...KFS
KFRSHK-R40J-KFS-EG,BNIBKR-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,BENIBAKKAR...KFS
KFRSHK-R40J-KFS-EG,DEQLET-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,DEQLET...KFS
KFRSHK-R40J-KFS-EG,DEQLET-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,DEQLET...KFS
KFRSHK-R40J-KFS-EG,DEQLET-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,DEQLET...KFS
KFRSHK-R40J-KFS-EG,DEQLET-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,DEQLET...KFS
KFRSHK-R40J-KFS-EG,ABSKSH-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,ABBASIAKAFRELSHEIKH...KFS
KFRSHK-R40J-KFS-EG,RSFRKH-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,ROSELFARKH...KFS
KFRSHK-R40J-KFS-EG,RSFRKH-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,ROSELFARKH...KFS
KFRSHK-R40J-KFS-EG,AGHNMA-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,ABOGHONEIMAH...KFS
KFRSHK-R40J-KFS-EG,ASAID-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,ABOSAID...KFS
KFRSHK-R40J-KFS-EG,ASAID-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,ABOSAID...KFS
KFRSHK-R40J-KFS-EG,ASAID-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,ABOSAID...KFS
KFRSHK-R40J-KFS-EG,KFRQTTA-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,KAFRQATTA...KFS
KFRSHK-R40J-KFS-EG,SHBSHD-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,SHABASELSHOHADAA...KFS
KFRSHK-R40J-KFS-EG,SHABBA-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,SHABBA...KFS
KFRSHK-R40J-KFS-EG,SHBSEM-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,SHABASEMEIR...KFS
KFRSHK-R40J-KFS-EG,SIDGHZ-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,SIDIGHAZY...KFS
KFRSHK-R40J-KFS-EG,MESSER-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,MESSER...KFS
KFRSHK-R40J-KFS-EG,MESSER-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,MESSER...KFS
KFRSHK-R40J-KFS-EG,ADERAZ-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,ABODERAZ...KFS
KFRSHK-R40J-KFS-EG,ADERAZ-R01J-KFS-EG,Downlink,entrance,KAFRELSHEIKH...KFS,ABODERAZ...KFS
