NODENAME,MANAGEMENT_SYSTEM,IP1,NODELOCATION,LOCAL_INTERFACE,locaL_ADDRESS,Role1,NEIGHBOR_HOSTNAME,NEIGHBOR_INTERFACE,neighboR_ADDRESS,NEIGHBORLOCATION,Role2,Direction
NADER-R01J-MNF-EG,JUNIPER_MPLS,10.45.6.198,NADER...MNF,XE-2/0/0,10.39.62.234/30,EDGE,SHBIN1-R41J-MNF-EG,XE-13/1/0,10.39.62.233/30,SHEBINALKAWM1...MNF,DISTRIBUTION & VAS ROUTERS,Uplink
ATLEDEM-R01J-MN-EG,JUNIPER_MPLS,10.45.1.110,ATLEEDEM...MN,XE-2/0/0,10.39.73.93/30,EDGE,MINYA-R41C-MN-EG,TE0/4/0/0,10.39.73.94/30,MINYA...MN,DISTRIBUTION & VAS ROUTERS,Uplink
QAFTT-R01J-KN-EG,JUNIPER_MPLS,10.45.1.243,QAFTT...KN,XE-2/0/2,10.39.216.30/30,EDGE,QNAWEST-R40J-KN-EG,XE-11/1/10,10.39.216.29/30,QENAWEST...KN,DISTRIBUTION & VAS ROUTERS,Uplink
DMIETA2-R04J-DT-EG,JUNIPER_MPLS,10.45.19.68,DAMIETTA2...DT,AE22,10.29.45.146/30,EDGE,DMIETA2-R30J-DT-EG,AE22,10.29.45.145/30,DAMIETTA2...DT,BIG EDGE,Uplink
TOLT-R01J-BNS-EG,JUNIPER_MPLS,10.45.4.20,TOLT...BNS,GE-0/1/5,10.39.56.201/30,EDGE,BNISUF-R31J-BNS-EG,XE-0/1/11,10.39.56.202/30,BENISUEF...BNS,BIG EDGE,Uplink
TOLT-R01J-BNS-EG,JUNIPER_MPLS,10.45.4.20,TOLT...BNS,GE-0/1/2,10.39.56.197/30,EDGE,BNISUF-R31J-BNS-EG,XE-0/0/18,10.39.56.198/30,BENISUEF...BNS,BIG EDGE,Uplink
TOLT-R01J-BNS-EG,JUNIPER_MPLS,10.45.4.20,TOLT...BNS,GE-0/0/0,10.39.231.78/30,EDGE,BNISUF-R31J-BNS-EG,GE-11/1/4,10.39.231.77/30,BENISUEF...BNS,BIG EDGE,Uplink
TOLT-R01J-BNS-EG,JUNIPER_MPLS,10.45.4.20,TOLT...BNS,GE-0/0/8,10.39.56.193/30,EDGE,BNISUF-R31J-BNS-EG,XE-0/0/6,10.39.56.194/30,BENISUEF...BNS,BIG EDGE,Uplink
TAWILAH-R01J-DK-EG,JUNIPER_MPLS,10.45.6.16,TAWILAH...DK,XE-2/0/0,10.39.64.162/30,EDGE,MNSREST-R40J-DK-EG,XE-15/0/9,10.39.64.161/30,MANSURAHEAST...DK,DISTRIBUTION & VAS ROUTERS,Uplink
BADRCITY-R03J-C-EG,JUNIPER_MPLS,10.45.4.76,BADRCITY...C,AE10,10.29.16.121/30,EDGE,BADRCITY-R12H-C-EG,ETH-TRUNK10,10.29.16.122/30,BADRCITY...C,BIG EDGE,Uplink
AMTAMIR-R01J-BH-EG,JUNIPER_MPLS,10.45.3.145,ABOELMATAMIR...BH,XE-2/0/2,10.39.101.193/30,EDGE,AMTAMIR-R30H-BH-EG,GE0/2/0,10.39.101.194/30,ABOELMATAMIR...BH,,Uplink
AMTAMIR-R01J-BH-EG,JUNIPER_MPLS,10.45.3.145,ABOELMATAMIR...BH,XE-2/0/0,10.39.101.185/30,EDGE,AMTAMIR-R30H-BH-EG,GE0/1/0,10.39.101.186/30,ABOELMATAMIR...BH,,Uplink
BTANON-R01J-MNF-EG,JUNIPER_MPLS,10.45.6.46,BATANON...MNF,XE-2/0/0,10.39.215.114/30,EDGE,BTANON-R30C-MNF-EG,TE0/1/0/36,10.39.215.113/30,BATANON...MNF,,Uplink
BTANON-R01J-MNF-EG,JUNIPER_MPLS,10.45.6.46,BATANON...MNF,XE-2/0/1,10.39.215.109/30,EDGE,BTANON-R30C-MNF-EG,TE0/2/0/36,10.39.215.110/30,BATANON...MNF,,Uplink
GIZA-R14J-GZ-EG,JUNIPER_MPLS,10.45.12.122,GIZA...GZ,AE5,10.29.17.89/30,EDGE,GIZA-R41J-GZ-EG,AE5,10.29.17.90/30,GIZA...GZ,DISTRIBUTION & VAS ROUTERS,Uplink
MNSHOM-R01J-SHR-EG,JUNIPER_MPLS,10.45.12.218,MANSHAATABOOMAR...SHR,GE-0/1/7,10.39.241.134/30,EDGE,ZGZIGE-R41C-SHR-EG,GI0/6/0/34,10.39.241.133/30,ZAGAZIGEAST...SHR,,Uplink
MNSHOM-R01J-SHR-EG,JUNIPER_MPLS,10.45.12.218,MANSHAATABOOMAR...SHR,GE-0/1/6,10.39.241.130/30,EDGE,ZGZIGE-R41C-SHR-EG,GI0/4/0/37,10.39.241.129/30,ZAGAZIGEAST...SHR,,Uplink
MNSHOM-R01J-SHR-EG,JUNIPER_MPLS,10.45.12.218,MANSHAATABOOMAR...SHR,GE-0/1/5,10.39.241.126/30,EDGE,ZGZIGE-R41C-SHR-EG,GI0/4/0/36,10.39.241.125/30,ZAGAZIGEAST...SHR,,Uplink
BORDIN-R01J-SHR-EG,JUNIPER_MPLS,10.45.1.252,BORDIN...SHR,XE-2/0/0,10.39.241.162/30,EDGE,ZGZIGE-R40C-SHR-EG,TE0/4/0/11,10.39.241.161/30,ZAGAZIGEAST...SHR,,Uplink
MRINA1-R01J-MT-EG,JUNIPER_MPLS,10.45.9.114,MARINA1...MT,GE-0/2/0,10.39.40.62/30,EDGE,AUTO-R31J-ALX-EG,GE-11/3/9,10.39.40.61/30,AUTO...ALX,BIG EDGE,Uplink
MRINA1-R01J-MT-EG,JUNIPER_MPLS,10.45.9.114,MARINA1...MT,GE-0/0/0,10.39.40.54/30,EDGE,AUTO-R31J-ALX-EG,GE-0/0/3,10.39.40.53/30,AUTO...ALX,BIG EDGE,Uplink
MRINA1-R01J-MT-EG,JUNIPER_MPLS,10.45.9.114,MARINA1...MT,GE-0/0/6,10.39.40.58/30,EDGE,AUTO-R31J-ALX-EG,GE-11/2/1,10.39.40.57/30,AUTO...ALX,BIG EDGE,Uplink
MRINA1-R01J-MT-EG,JUNIPER_MPLS,10.45.9.114,MARINA1...MT,GE-0/0/1,10.39.40.50/30,EDGE,AUTO-R31J-ALX-EG,GE-0/0/0,10.39.40.49/30,AUTO...ALX,BIG EDGE,Uplink
FSHKBR-R01J-MNF-EG,JUNIPER_MPLS,10.45.4.8,FESHAELKOBRA...MNF,XE-2/0/0,10.39.69.213/30,EDGE,SHBIN1-R41J-MNF-EG,XE-13/0/12,10.39.69.214/30,SHEBINALKAWM1...MNF,DISTRIBUTION & VAS ROUTERS,Uplink
TLMBTSK-R01J-BH-EG,JUNIPER_MPLS,10.45.9.53,TOLOMBATBARSEEK...BH,GE-0/0/0,10.39.56.145/30,EDGE,DMNHRE1-R31J-BH-EG,GE-2/2/0,10.39.56.146/30,DAMANHUREAST1...BH,BIG EDGE,Uplink
TLMBTSK-R01J-BH-EG,JUNIPER_MPLS,10.45.9.53,TOLOMBATBARSEEK...BH,GE-0/1/0,10.39.56.149/30,EDGE,DMNHRE1-R31J-BH-EG,GE-2/2/1,10.39.56.150/30,DAMANHUREAST1...BH,BIG EDGE,Uplink
SDGB_2-R11J-ALX-EG,JUNIPER_MPLS,10.45.21.122,SIDIGABER_2...ALX,AE30,10.29.44.206/30,EDGE,SDGB_2-R40J-ALX-EG,AE30,10.29.44.205/30,SIDIGABER_2...ALX,DISTRIBUTION & VAS ROUTERS,Uplink
NAHDA-R02J-C-EG,JUNIPER_MPLS,10.45.0.39,NAHDA...C,AE12,10.29.35.113/30,EDGE,NAHDA-R30J-C-EG,AE12,10.29.35.114/30,NAHDA...C,BIG EDGE,Uplink
QATTAMIA-R01J-C-EG,JUNIPER_MPLS,10.45.4.155,QATTAMIA...C,AE51,10.29.49.109/30,EDGE,QATTAMIA-R07H-C-EG,ETH-TRUNK51,10.29.49.110/30,QATTAMIA...C,BIG EDGE,Uplink
FAWALA-R07J-C-EG,JUNIPER_MPLS,10.45.19.13,FAWALA...C,AE1,10.29.16.85/30,EDGE,FAWALA-R30J-C-EG,AE1,10.29.16.86/30,FAWALA...C,BIG EDGE,Uplink
PTSAID-R04J-PTS-EG,JUNIPER_MPLS,10.45.15.202,PORTSAID...PTS,XE-2/0/3,10.39.220.226/30,EDGE,PTSAID-R41C-PTS-EG,TE0/2/0/7,10.39.220.225/30,PORTSAID...PTS,,Uplink
PTSAID-R04J-PTS-EG,JUNIPER_MPLS,10.45.15.202,PORTSAID...PTS,XE-2/0/2,10.39.220.222/30,EDGE,PTSAID-R41C-PTS-EG,TE0/2/0/6,10.39.220.221/30,PORTSAID...PTS,,Uplink
BDRSHN-R01J-GZ-EG,JUNIPER_MPLS,10.45.3.132,BADRASHIN...GZ,XE-2/0/3,10.39.252.69/30,EDGE,BDRSHN-R31H-GZ-EG,GE0/1/1,10.39.252.70/30,BADRASHIN...GZ,,Uplink
BDRSHN-R01J-GZ-EG,JUNIPER_MPLS,10.45.3.132,BADRASHIN...GZ,XE-2/0/2,10.39.252.65/30,EDGE,BDRSHN-R31H-GZ-EG,GE0/1/0,10.39.252.66/30,BADRASHIN...GZ,,Uplink
IBRHIM-R02J-SHR-EG,JUNIPER_MPLS,10.45.4.15,IBRAHIMIA...SHR,AE10,10.39.220.82/30,EDGE,IBRHIM-R30J-SHR-EG,AE10,10.39.220.81/30,IBRAHIMIA...SHR,,Uplink
NASSER-R01J-BH-EG,JUNIPER_MPLS,10.45.12.233,NASSER...BH,XE-2/0/0,10.39.63.225/30,EDGE,DMNHRE1-R41J-BH-EG,XE-15/0/19,10.39.63.226/30,DAMANHUREAST1...BH,DISTRIBUTION & VAS ROUTERS,Uplink
EZBQSR-R01J-WAD-EG,JUNIPER_MPLS,10.45.19.22,EZZABELQASR...WAD,GE-0/0/1,10.39.58.222/30,EDGE,DAKHLA-R07H-WAD-EG,GE0/4/9,10.39.58.221/30,DAKHLA...WAD,BIG EDGE,Uplink
EZBQSR-R01J-WAD-EG,JUNIPER_MPLS,10.45.19.22,EZZABELQASR...WAD,GE-0/0/0,10.39.58.226/30,EDGE,DAKHLA-R07H-WAD-EG,GE0/7/1,10.39.58.225/30,DAKHLA...WAD,BIG EDGE,Uplink
SHAHA-R02J-DK-EG,JUNIPER_MPLS,10.45.6.28,SHAHA...DK,XE-2/0/0,10.39.53.54/30,EDGE,MNSREST-R40J-DK-EG,XE-13/0/10,10.39.53.53/30,MANSURAHEAST...DK,DISTRIBUTION & VAS ROUTERS,Uplink
SHAHA-R02J-DK-EG,JUNIPER_MPLS,10.45.6.28,SHAHA...DK,XE-2/0/1,10.39.53.58/30,EDGE,MNSREST-R40J-DK-EG,XE-15/1/3,10.39.53.57/30,MANSURAHEAST...DK,DISTRIBUTION & VAS ROUTERS,Uplink
HWAWSH-R01J-SHG-EG,JUNIPER_MPLS,10.45.15.131,HAWAWISH...SHG,XE-2/0/0,10.39.202.86/30,EDGE,SHGWST-R40J-SHG-EG,XE-6/1/3,10.39.202.85/30,SOHAGWEST...SHG,DISTRIBUTION & VAS ROUTERS,Uplink
