NODENAME,MANAGEMENT_SYSTEM,IP1,NODELOCATION,LOCAL_INTERFACE,locaL_ADDRESS,Role1,NEIGHBOR_HOSTNAME,NEIGHBOR_INTERFACE,neighboR_ADDRESS,NEIGHBORLOCATION,Role2,Direction
AUTO-R41J-ALX-EG,JUNIPER_MPLS,10.45.10.93,AUTO...ALX,ET-17/0/6,10.29.7.226/30,IGW ROUTERS,AUTO-R60C-ALX-EG,HU0/16/0/10,10.29.7.225/30,AUTO...ALX,CORE ROUTERS,Downlink
AUTO-R41J-ALX-EG,JUNIPER_MPLS,10.45.10.93,AUTO...ALX,ET-16/0/9,10.29.7.253/30,IGW ROUTERS,AUTO-R61C-ALX-EG,HU0/13/0/1,10.29.7.254/30,AUTO...ALX,CORE ROUTERS,Downlink
AUTO-R41J-ALX-EG,JUNIPER_MPLS,10.45.10.93,AUTO...ALX,ET-14/1/7,10.29.7.245/30,IGW ROUTERS,AUTO-R61C-ALX-EG,HU0/9/0/6,10.29.7.246/30,AUTO...ALX,CORE ROUTERS,Downlink
AUTO-R41J-ALX-EG,JUNIPER_MPLS,10.45.10.93,AUTO...ALX,ET-16/0/8,10.29.7.249/30,IGW ROUTERS,AUTO-R61C-ALX-EG,HU0/13/0/0,10.29.7.250/30,AUTO...ALX,CORE ROUTERS,Downlink
AUTO-R41J-ALX-EG,JUNIPER_MPLS,10.45.10.93,AUTO...ALX,ET-14/1/6,10.29.7.241/30,IGW ROUTERS,AUTO-R61C-ALX-EG,HU0/9/0/5,10.29.7.242/30,AUTO...ALX,CORE ROUTERS,Downlink
SMRTVLG-R30J-GZ-EG,JUNIPER_MPLS,10.45.19.120,SMARTVILLAGE...GZ,XE-1/0/6,10.29.124.157/30,BIG EDGE,SMRTVLG-R05J-GZ-EG,XE-2/0/0,10.29.124.158/30,SMARTVILLAGE...GZ,EDGE,Downlink
SMRTVLG-R30J-GZ-EG,JUNIPER_MPLS,10.45.19.120,SMARTVILLAGE...GZ,XE-1/0/7,10.29.124.162/30,BIG EDGE,SMRTVLG-R05J-GZ-EG,XE-2/0/3,10.29.124.161/30,SMARTVILLAGE...GZ,EDGE,Downlink
SMRTVLG-R30J-GZ-EG,JUNIPER_MPLS,10.45.19.120,SMARTVILLAGE...GZ,XE-1/1/1,10.29.124.186/30,BIG EDGE,SMRTVLG-R06J-GZ-EG,XE-2/0/1,10.29.124.185/30,SMARTVILLAGE...GZ,EDGE,Downlink
SMRTVLG-R30J-GZ-EG,JUNIPER_MPLS,10.45.19.120,SMARTVILLAGE...GZ,XE-1/1/0,10.29.124.174/30,BIG EDGE,SMRTVLG-R06J-GZ-EG,XE-2/0/0,10.29.124.173/30,SMARTVILLAGE...GZ,EDGE,Downlink
SMRTVLG-R30J-GZ-EG,JUNIPER_MPLS,10.45.19.120,SMARTVILLAGE...GZ,XE-1/0/5,10.29.124.142/30,BIG EDGE,SMRTVLG-R04J-GZ-EG,XE-2/0/3,10.29.124.141/30,SMARTVILLAGE...GZ,EDGE,Downlink
SMRTVLG-R30J-GZ-EG,JUNIPER_MPLS,10.45.19.120,SMARTVILLAGE...GZ,XE-1/0/4,10.29.124.146/30,BIG EDGE,SMRTVLG-R04J-GZ-EG,XE-2/0/0,10.29.124.145/30,SMARTVILLAGE...GZ,EDGE,Downlink
SMRTVLG-R30J-GZ-EG,JUNIPER_MPLS,10.45.19.120,SMARTVILLAGE...GZ,XE-1/3/2,10.39.212.210/30,BIG EDGE,SMRTVLG-R31J-GZ-EG,XE-1/1/2,10.39.212.209/30,SMARTVILLAGE...GZ,BIG EDGE,Downlink
SMRTVLG-R30J-GZ-EG,JUNIPER_MPLS,10.45.19.120,SMARTVILLAGE...GZ,XE-1/3/1,10.39.212.206/30,BIG EDGE,SMRTVLG-R31J-GZ-EG,XE-1/1/1,10.39.212.205/30,SMARTVILLAGE...GZ,BIG EDGE,Downlink
SMRTVLG-R30J-GZ-EG,JUNIPER_MPLS,10.45.19.120,SMARTVILLAGE...GZ,XE-1/3/0,10.39.212.202/30,BIG EDGE,SMRTVLG-R31J-GZ-EG,XE-1/1/0,10.39.212.201/30,SMARTVILLAGE...GZ,BIG EDGE,Downlink
SADAT-R30J-MNF-EG,JUNIPER_MPLS,10.45.10.174,SADAT...MNF,AE2,10.29.41.170/30,BIG EDGE,SADAT-R10J-MNF-EG,AE2,10.29.41.169/30,SADAT...MNF,EDGE,Downlink
SADAT-R30J-MNF-EG,JUNIPER_MPLS,10.45.10.174,SADAT...MNF,AE10,10.29.41.154/30,BIG EDGE,SADAT-R02J-MNF-EG,AE4,10.29.41.153/30,SADAT...MNF,EDGE,Downlink
SADAT-R30J-MNF-EG,JUNIPER_MPLS,10.45.10.174,SADAT...MNF,AE7,10.29.41.142/30,BIG EDGE,SADAT-R05J-MNF-EG,AE2,10.29.41.141/30,SADAT...MNF,EDGE,Downlink
SADAT-R30J-MNF-EG,JUNIPER_MPLS,10.45.10.174,SADAT...MNF,AE6,10.29.39.122/30,BIG EDGE,SADAT-R06J-MNF-EG,AE2,10.29.39.121/30,SADAT...MNF,EDGE,Downlink
SADAT-R30J-MNF-EG,JUNIPER_MPLS,10.45.10.174,SADAT...MNF,AE8,10.29.41.166/30,BIG EDGE,SADAT-R04J-MNF-EG,AE2,10.29.41.165/30,SADAT...MNF,EDGE,Downlink
SADAT-R30J-MNF-EG,JUNIPER_MPLS,10.45.10.174,SADAT...MNF,AE5,10.29.41.150/30,BIG EDGE,SADAT-R07J-MNF-EG,AE2,10.29.41.149/30,SADAT...MNF,EDGE,Downlink
SADAT-R30J-MNF-EG,JUNIPER_MPLS,10.45.10.174,SADAT...MNF,AE4,10.29.41.146/30,BIG EDGE,SADAT-R08J-MNF-EG,AE2,10.29.41.145/30,SADAT...MNF,EDGE,Downlink
SADAT-R30J-MNF-EG,JUNIPER_MPLS,10.45.10.174,SADAT...MNF,ET-7/1/0,10.39.231.217/30,BIG EDGE,SADAT-R31J-MNF-EG,ET-7/1/0,10.39.231.218/30,SADAT...MNF,BIG EDGE,Downlink
SADAT-R30J-MNF-EG,JUNIPER_MPLS,10.45.10.174,SADAT...MNF,AE9,10.29.41.162/30,BIG EDGE,SADAT-R03J-MNF-EG,AE2,10.29.41.161/30,SADAT...MNF,EDGE,Downlink
SADAT-R30J-MNF-EG,JUNIPER_MPLS,10.45.10.174,SADAT...MNF,AE3,10.29.41.138/30,BIG EDGE,SADAT-R09J-MNF-EG,AE2,10.29.41.137/30,SADAT...MNF,EDGE,Downlink
NOBREYA-R01J-BH-EG,JUNIPER_MPLS,10.45.3.30,NOBAREYAH...BH,XE-2/0/1,10.39.63.42/30,EDGE,NOBREYA-R02J-BH-EG,XE-2/0/0,10.39.63.41/30,NOBAREYAH...BH,EDGE,Downlink
HDARAH-R30J-ALX-EG,JUNIPER_MPLS,10.45.10.178,HADARAH...ALX,AE10,10.29.18.153/30,BIG EDGE,HDARAH-R04J-ALX-EG,AE10,10.29.18.154/30,HADARAH...ALX,EDGE,Downlink
HDARAH-R30J-ALX-EG,JUNIPER_MPLS,10.45.10.178,HADARAH...ALX,AE30,10.29.18.174/30,BIG EDGE,HDARAH-R31J-ALX-EG,AE30,10.29.18.173/30,HADARAH...ALX,BIG EDGE,Downlink
HDARAH-R30J-ALX-EG,JUNIPER_MPLS,10.45.10.178,HADARAH...ALX,AE5,10.29.18.137/30,BIG EDGE,HDARAH-R05J-ALX-EG,AE5,10.29.18.138/30,HADARAH...ALX,EDGE,Downlink
HDARAH-R30J-ALX-EG,JUNIPER_MPLS,10.45.10.178,HADARAH...ALX,AE0,10.29.18.121/30,BIG EDGE,HDARAH-R07J-ALX-EG,AE0,10.29.18.122/30,HADARAH...ALX,EDGE,Downlink
HDARAH-R30J-ALX-EG,JUNIPER_MPLS,10.45.10.178,HADARAH...ALX,AE15,10.29.18.106/30,BIG EDGE,HDARAH-R06J-ALX-EG,AE15,10.29.18.105/30,HADARAH...ALX,EDGE,Downlink
HODDRS-R02J-SUZ-EG,JUNIPER_MPLS,10.45.4.232,HOODELDARSS...SUZ,AE2,10.29.20.194/30,EDGE,HODDRS-R03J-SUZ-EG,AE2,10.29.20.193/30,HOODELDARSS...SUZ,EDGE,Downlink
ALMAZA-R41J-C-EG,JUNIPER_MPLS,10.45.10.5,ALMAZA...C,XE-6/0/18,10.29.4.53/30,DISTRIBUTION & VAS ROUTERS,ALMAZA-R14J-C-EG,XE-2/0/3,10.29.4.54/30,ALMAZA...C,EDGE,Downlink
ALMAZA-R41J-C-EG,JUNIPER_MPLS,10.45.10.5,ALMAZA...C,XE-15/0/3,10.29.4.49/30,DISTRIBUTION & VAS ROUTERS,ALMAZA-R14J-C-EG,XE-2/0/2,10.29.4.50/30,ALMAZA...C,EDGE,Downlink
ALMAZA-R41J-C-EG,JUNIPER_MPLS,10.45.10.5,ALMAZA...C,XE-15/0/5,10.29.4.65/30,DISTRIBUTION & VAS ROUTERS,ALMAZA-R15J-C-EG,XE-2/0/2,10.29.4.66/30,ALMAZA...C,EDGE,Downlink
ALMAZA-R41J-C-EG,JUNIPER_MPLS,10.45.10.5,ALMAZA...C,XE-6/0/19,10.29.4.69/30,DISTRIBUTION & VAS ROUTERS,ALMAZA-R15J-C-EG,XE-2/0/3,10.29.4.70/30,ALMAZA...C,EDGE,Downlink
ALMAZA-R41J-C-EG,JUNIPER_MPLS,10.45.10.5,ALMAZA...C,XE-15/0/1,10.29.4.33/30,DISTRIBUTION & VAS ROUTERS,ALMAZA-R13J-C-EG,XE-2/0/2,10.29.4.34/30,ALMAZA...C,EDGE,Downlink
ALMAZA-R41J-C-EG,JUNIPER_MPLS,10.45.10.5,ALMAZA...C,XE-6/0/17,10.29.4.37/30,DISTRIBUTION & VAS ROUTERS,ALMAZA-R13J-C-EG,XE-2/0/3,10.29.4.38/30,ALMAZA...C,EDGE,Downlink
ALMAZA-R41J-C-EG,JUNIPER_MPLS,10.45.10.5,ALMAZA...C,XE-6/1/1,10.39.66.117/30,DISTRIBUTION & VAS ROUTERS,RKBABLDGACUD-R03J-C-EG,XE-2/0/0,10.39.66.118/30,REKABABLDNGNEWCAPITAL...C,EDGE,Downlink
ALMAZA-R41J-C-EG,JUNIPER_MPLS,10.45.10.5,ALMAZA...C,XE-4/0/6,10.29.4.18/30,DISTRIBUTION & VAS ROUTERS,ALMAZA-R12J-C-EG,XE-2/0/2,10.29.4.17/30,ALMAZA...C,EDGE,Downlink
ALMAZA-R41J-C-EG,JUNIPER_MPLS,10.45.10.5,ALMAZA...C,XE-4/0/7,10.29.4.22/30,DISTRIBUTION & VAS ROUTERS,ALMAZA-R12J-C-EG,XE-2/0/3,10.29.4.21/30,ALMAZA...C,EDGE,Downlink
ALMAZA-R41J-C-EG,JUNIPER_MPLS,10.45.10.5,ALMAZA...C,XE-4/0/1,10.29.3.246/30,DISTRIBUTION & VAS ROUTERS,ALMAZA-R03J-C-EG,XE-2/0/3,10.29.3.245/30,ALMAZA...C,EDGE,Downlink
ALMAZA-R41J-C-EG,JUNIPER_MPLS,10.45.10.5,ALMAZA...C,XE-4/0/0,10.29.3.242/30,DISTRIBUTION & VAS ROUTERS,ALMAZA-R03J-C-EG,XE-2/0/2,10.29.3.241/30,ALMAZA...C,EDGE,Downlink
ALMAZA-R41J-C-EG,JUNIPER_MPLS,10.45.10.5,ALMAZA...C,XE-4/0/5,10.29.4.6/30,DISTRIBUTION & VAS ROUTERS,ALMAZA-R11J-C-EG,XE-2/0/3,10.29.4.5/30,ALMAZA...C,EDGE,Downlink
ALMAZA-R41J-C-EG,JUNIPER_MPLS,10.45.10.5,ALMAZA...C,XE-4/0/4,10.29.4.2/30,DISTRIBUTION & VAS ROUTERS,ALMAZA-R11J-C-EG,XE-2/0/2,10.29.4.1/30,ALMAZA...C,EDGE,Downlink
ALMAZA-R41J-C-EG,JUNIPER_MPLS,10.45.10.5,ALMAZA...C,XE-4/0/3,10.29.3.230/30,DISTRIBUTION & VAS ROUTERS,ALMAZA-R10J-C-EG,XE-2/0/3,10.29.3.229/30,ALMAZA...C,EDGE,Downlink
ALMAZA-R41J-C-EG,JUNIPER_MPLS,10.45.10.5,ALMAZA...C,XE-4/0/2,10.29.3.226/30,DISTRIBUTION & VAS ROUTERS,ALMAZA-R10J-C-EG,XE-2/0/2,10.29.3.225/30,ALMAZA...C,EDGE,Downlink
EMBABA-R30J-GZ-EG,JUNIPER_MPLS,10.45.18.47,EMBABA...GZ,ET-7/0/3,10.39.223.225/30,BIG EDGE,EMBABA-R31J-GZ-EG,ET-7/0/3,10.39.223.226/30,EMBABA...GZ,BIG EDGE,Downlink
EMBABA-R30J-GZ-EG,JUNIPER_MPLS,10.45.18.47,EMBABA...GZ,ET-7/0/2,10.39.223.221/30,BIG EDGE,EMBABA-R31J-GZ-EG,ET-7/0/2,10.39.223.222/30,EMBABA...GZ,BIG EDGE,Downlink
EMBABA-R30J-GZ-EG,JUNIPER_MPLS,10.45.18.47,EMBABA...GZ,AE36,10.29.46.57/30,BIG EDGE,EMBABA-R07J-GZ-EG,AE36,10.29.46.58/30,EMBABA...GZ,EDGE,Downlink
EMBABA-R30J-GZ-EG,JUNIPER_MPLS,10.45.18.47,EMBABA...GZ,AE30,10.29.46.41/30,BIG EDGE,EMBABA-R04J-GZ-EG,AE30,10.29.46.42/30,EMBABA...GZ,EDGE,Downlink
EMBABA-R30J-GZ-EG,JUNIPER_MPLS,10.45.18.47,EMBABA...GZ,AE38,10.29.46.65/30,BIG EDGE,EMBABA-R08J-GZ-EG,AE38,10.29.46.66/30,EMBABA...GZ,EDGE,Downlink
EMBABA-R30J-GZ-EG,JUNIPER_MPLS,10.45.18.47,EMBABA...GZ,AE34,10.29.46.33/30,BIG EDGE,EMBABA-R06J-GZ-EG,AE34,10.29.46.34/30,EMBABA...GZ,EDGE,Downlink
DARSALAM-R30J-C-EG,JUNIPER_MPLS,10.45.10.172,DARELSALAM...C,AE32,10.29.45.201/30,BIG EDGE,DARSALAM-R03J-C-EG,AE32,10.29.45.202/30,DARELSALAM...C,EDGE,Downlink
DARSALAM-R30J-C-EG,JUNIPER_MPLS,10.45.10.172,DARELSALAM...C,AE34,10.29.45.189/30,BIG EDGE,DARSALAM-R04J-C-EG,AE34,10.29.45.190/30,DARELSALAM...C,EDGE,Downlink
DARSALAM-R30J-C-EG,JUNIPER_MPLS,10.45.10.172,DARELSALAM...C,AE30,10.29.45.197/30,BIG EDGE,DARSALAM-R02J-C-EG,AE30,10.29.45.198/30,DARELSALAM...C,EDGE,Downlink
DARSALAM-R30J-C-EG,JUNIPER_MPLS,10.45.10.172,DARELSALAM...C,AE36,10.29.45.181/30,BIG EDGE,DARSALAM-R05J-C-EG,AE36,10.29.45.182/30,DARELSALAM...C,EDGE,Downlink
DARSALAM-R30J-C-EG,JUNIPER_MPLS,10.45.10.172,DARELSALAM...C,ET-7/1/0,10.29.14.217/30,BIG EDGE,DARSALAM-R31J-C-EG,ET-7/1/0,10.29.14.218/30,DARELSALAM...C,BIG EDGE,Downlink
DARSALAM-R30J-C-EG,JUNIPER_MPLS,10.45.10.172,DARELSALAM...C,ET-7/1/1,10.39.231.25/30,BIG EDGE,DARSALAM-R31J-C-EG,ET-7/1/1,10.39.231.26/30,DARELSALAM...C,BIG EDGE,Downlink
6OCT2-R40J-GZ-EG,JUNIPER_MPLS,10.45.10.100,6OCTOBER2...GZ,XE-11/0/14,10.29.119.66/30,DISTRIBUTION ROUTERS,6OCT2-R13J-GZ-EG,XE-2/0/0,10.29.119.65/30,6OCTOBER2...GZ,EDGE,Downlink
6OCT2-R40J-GZ-EG,JUNIPER_MPLS,10.45.10.100,6OCTOBER2...GZ,ET-13/1/4,10.29.119.177/30,DISTRIBUTION ROUTERS,6OCT2-R32J-GZ-EG,ET-4/0/0,10.29.119.178/30,6OCTOBER2...GZ,BIG EDGE,Downlink
6OCT2-R40J-GZ-EG,JUNIPER_MPLS,10.45.10.100,6OCTOBER2...GZ,ET-13/2/0,10.29.119.181/30,DISTRIBUTION ROUTERS,6OCT2-R32J-GZ-EG,ET-4/0/1,10.29.119.182/30,6OCTOBER2...GZ,BIG EDGE,Downlink
6OCT2-R40J-GZ-EG,JUNIPER_MPLS,10.45.10.100,6OCTOBER2...GZ,ET-17/0/0,10.29.119.146/30,DISTRIBUTION ROUTERS,6OCT2-R34J-GZ-EG,ET-8/0/1,10.29.119.145/30,6OCTOBER2...GZ,MOBILE ROUTERS,Downlink
6OCT2-R40J-GZ-EG,JUNIPER_MPLS,10.45.10.100,6OCTOBER2...GZ,XE-11/0/18,10.29.119.82/30,DISTRIBUTION ROUTERS,6OCT2-R15J-GZ-EG,XE-2/0/0,10.29.119.81/30,6OCTOBER2...GZ,EDGE,Downlink
6OCT2-R40J-GZ-EG,JUNIPER_MPLS,10.45.10.100,6OCTOBER2...GZ,XE-11/0/3,10.29.119.10/30,DISTRIBUTION ROUTERS,6OCT2-R07J-GZ-EG,XE-2/0/0,10.29.119.9/30,6OCTOBER2...GZ,EDGE,Downlink
6OCT2-R40J-GZ-EG,JUNIPER_MPLS,10.45.10.100,6OCTOBER2...GZ,XE-11/0/2,10.29.119.6/30,DISTRIBUTION ROUTERS,6OCT2-R07J-GZ-EG,XE-2/0/3,10.29.119.5/30,6OCTOBER2...GZ,EDGE,Downlink
6OCT2-R40J-GZ-EG,JUNIPER_MPLS,10.45.10.100,6OCTOBER2...GZ,XE-3/0/3,10.39.50.14/30,DISTRIBUTION ROUTERS,BAWITY-R01J-GZ-EG,XE-2/0/0,10.39.50.13/30,BAWITTY...GZ,EDGE,Downlink
6OCT2-R40J-GZ-EG,JUNIPER_MPLS,10.45.10.100,6OCTOBER2...GZ,AE13,10.39.12.225/30,DISTRIBUTION ROUTERS,LUXOR2-R32J-LX-EG,AE13,10.39.12.226/30,LUXOR2...LX,DISTRIBUTION & VAS ROUTERS,Downlink
6OCT2-R40J-GZ-EG,JUNIPER_MPLS,10.45.10.100,6OCTOBER2...GZ,XE-11/0/12,10.29.119.58/30,DISTRIBUTION ROUTERS,6OCT2-R12J-GZ-EG,XE-2/0/0,10.29.119.57/30,6OCTOBER2...GZ,EDGE,Downlink
6OCT2-R40J-GZ-EG,JUNIPER_MPLS,10.45.10.100,6OCTOBER2...GZ,ET-13/0/0,10.29.119.134/30,DISTRIBUTION ROUTERS,6OCT2-R33J-GZ-EG,ET-1/1/1,10.29.119.133/30,6OCTOBER2...GZ,MOBILE ROUTERS,Downlink
6OCT2-R40J-GZ-EG,JUNIPER_MPLS,10.45.10.100,6OCTOBER2...GZ,ET-13/1/1,10.29.119.174/30,DISTRIBUTION ROUTERS,6OCT2-R31J-GZ-EG,ET-4/0/1,10.29.119.173/30,6OCTOBER2...GZ,BIG EDGE,Downlink
6OCT2-R40J-GZ-EG,JUNIPER_MPLS,10.45.10.100,6OCTOBER2...GZ,ET-13/1/0,10.29.119.170/30,DISTRIBUTION ROUTERS,6OCT2-R31J-GZ-EG,ET-4/0/0,10.29.119.169/30,6OCTOBER2...GZ,BIG EDGE,Downlink
6OCT2-R40J-GZ-EG,JUNIPER_MPLS,10.45.10.100,6OCTOBER2...GZ,XE-11/1/0,10.29.119.90/30,DISTRIBUTION ROUTERS,6OCT2-R16J-GZ-EG,XE-2/0/0,10.29.119.89/30,6OCTOBER2...GZ,EDGE,Downlink
6OCT2-R40J-GZ-EG,JUNIPER_MPLS,10.45.10.100,6OCTOBER2...GZ,XE-11/0/4,10.29.119.26/30,DISTRIBUTION ROUTERS,6OCT2-R08J-GZ-EG,XE-2/0/3,10.29.119.25/30,6OCTOBER2...GZ,EDGE,Downlink
6OCT2-R40J-GZ-EG,JUNIPER_MPLS,10.45.10.100,6OCTOBER2...GZ,XE-11/0/16,10.29.119.74/30,DISTRIBUTION ROUTERS,6OCT2-R14J-GZ-EG,XE-2/0/0,10.29.119.73/30,6OCTOBER2...GZ,EDGE,Downlink
6OCT2-R40J-GZ-EG,JUNIPER_MPLS,10.45.10.100,6OCTOBER2...GZ,XE-11/1/4,10.29.119.98/30,DISTRIBUTION ROUTERS,6OCT2-R18J-GZ-EG,XE-2/0/0,10.29.119.97/30,6OCTOBER2...GZ,EDGE,Downlink
6OCT2-R40J-GZ-EG,JUNIPER_MPLS,10.45.10.100,6OCTOBER2...GZ,XE-11/1/5,10.29.119.102/30,DISTRIBUTION ROUTERS,6OCT2-R18J-GZ-EG,XE-2/0/1,10.29.119.101/30,6OCTOBER2...GZ,EDGE,Downlink
ALMAZA-R40J-C-EG,JUNIPER_MPLS,10.45.2.78,ALMAZA...C,XE-15/1/4,10.39.11.94/30,DISTRIBUTION & VAS ROUTERS,KHANKA-R30C-C-EG,TE0/0/0/4,10.39.11.93/30,KHANKA...C,BIG EDGE,Downlink
ALMAZA-R40J-C-EG,JUNIPER_MPLS,10.45.2.78,ALMAZA...C,XE-13/1/4,10.39.11.82/30,DISTRIBUTION & VAS ROUTERS,KHANKA-R30C-C-EG,TE0/0/0/1,10.39.11.81/30,KHANKA...C,BIG EDGE,Downlink
ALMAZA-R40J-C-EG,JUNIPER_MPLS,10.45.2.78,ALMAZA...C,XE-15/1/3,10.39.11.90/30,DISTRIBUTION & VAS ROUTERS,KHANKA-R30C-C-EG,TE0/0/0/3,10.39.11.89/30,KHANKA...C,BIG EDGE,Downlink
ALMAZA-R40J-C-EG,JUNIPER_MPLS,10.45.2.78,ALMAZA...C,XE-13/1/15,10.39.11.86/30,DISTRIBUTION & VAS ROUTERS,KHANKA-R30C-C-EG,TE0/0/0/2,10.39.11.85/30,KHANKA...C,BIG EDGE,Downlink
ALMAZA-R40J-C-EG,JUNIPER_MPLS,10.45.2.78,ALMAZA...C,XE-13/1/1,10.39.11.78/30,DISTRIBUTION & VAS ROUTERS,KHANKA-R30C-C-EG,TE0/0/0/0,10.39.11.77/30,KHANKA...C,BIG EDGE,Downlink
ALMAZA-R40J-C-EG,JUNIPER_MPLS,10.45.2.78,ALMAZA...C,XE-6/0/14,10.39.66.113/30,DISTRIBUTION & VAS ROUTERS,RKBABLDGACUD-R02J-C-EG,XE-2/0/0,10.39.66.114/30,REKABABLDNGNEWCAPITAL...C,EDGE,Downlink
ALMAZA-R40J-C-EG,JUNIPER_MPLS,10.45.2.78,ALMAZA...C,XE-15/0/7,10.29.4.73/30,DISTRIBUTION & VAS ROUTERS,ALMAZA-R15J-C-EG,XE-2/0/0,10.29.4.74/30,ALMAZA...C,EDGE,Downlink
ALMAZA-R40J-C-EG,JUNIPER_MPLS,10.45.2.78,ALMAZA...C,XE-6/0/5,10.29.4.77/30,DISTRIBUTION & VAS ROUTERS,ALMAZA-R15J-C-EG,XE-2/0/1,10.29.4.78/30,ALMAZA...C,EDGE,Downlink
ALMAZA-R40J-C-EG,JUNIPER_MPLS,10.45.2.78,ALMAZA...C,XE-4/0/4,10.29.4.10/30,DISTRIBUTION & VAS ROUTERS,ALMAZA-R11J-C-EG,XE-2/0/0,10.29.4.9/30,ALMAZA...C,EDGE,Downlink
ALMAZA-R40J-C-EG,JUNIPER_MPLS,10.45.2.78,ALMAZA...C,XE-4/0/5,10.29.4.14/30,DISTRIBUTION & VAS ROUTERS,ALMAZA-R11J-C-EG,XE-2/0/1,10.29.4.13/30,ALMAZA...C,EDGE,Downlink
ALMAZA-R40J-C-EG,JUNIPER_MPLS,10.45.2.78,ALMAZA...C,XE-4/0/1,10.29.3.254/30,DISTRIBUTION & VAS ROUTERS,ALMAZA-R03J-C-EG,XE-2/0/1,10.29.3.253/30,ALMAZA...C,EDGE,Downlink
ALMAZA-R40J-C-EG,JUNIPER_MPLS,10.45.2.78,ALMAZA...C,XE-4/0/0,10.29.3.250/30,DISTRIBUTION & VAS ROUTERS,ALMAZA-R03J-C-EG,XE-2/0/0,10.29.3.249/30,ALMAZA...C,EDGE,Downlink
ALMAZA-R40J-C-EG,JUNIPER_MPLS,10.45.2.78,ALMAZA...C,XE-15/0/1,10.39.66.109/30,DISTRIBUTION & VAS ROUTERS,RKBABLDGACUD-R01J-C-EG,XE-2/0/0,10.39.66.110/30,REKABABLDNGNEWCAPITAL...C,EDGE,Downlink
ALMAZA-R40J-C-EG,JUNIPER_MPLS,10.45.2.78,ALMAZA...C,XE-15/0/5,10.29.4.57/30,DISTRIBUTION & VAS ROUTERS,ALMAZA-R14J-C-EG,XE-2/0/0,10.29.4.58/30,ALMAZA...C,EDGE,Downlink
ALMAZA-R40J-C-EG,JUNIPER_MPLS,10.45.2.78,ALMAZA...C,XE-6/0/6,10.29.4.61/30,DISTRIBUTION & VAS ROUTERS,ALMAZA-R14J-C-EG,XE-2/0/1,10.29.4.62/30,ALMAZA...C,EDGE,Downlink
ALMAZA-R40J-C-EG,JUNIPER_MPLS,10.45.2.78,ALMAZA...C,XE-4/0/7,10.29.4.29/30,DISTRIBUTION & VAS ROUTERS,ALMAZA-R12J-C-EG,XE-2/0/1,10.29.4.30/30,ALMAZA...C,EDGE,Downlink
ALMAZA-R40J-C-EG,JUNIPER_MPLS,10.45.2.78,ALMAZA...C,XE-4/0/6,10.29.4.25/30,DISTRIBUTION & VAS ROUTERS,ALMAZA-R12J-C-EG,XE-2/0/0,10.29.4.26/30,ALMAZA...C,EDGE,Downlink
ALMAZA-R40J-C-EG,JUNIPER_MPLS,10.45.2.78,ALMAZA...C,XE-4/0/2,10.29.3.234/30,DISTRIBUTION & VAS ROUTERS,ALMAZA-R10J-C-EG,XE-2/0/0,10.29.3.233/30,ALMAZA...C,EDGE,Downlink
ALMAZA-R40J-C-EG,JUNIPER_MPLS,10.45.2.78,ALMAZA...C,XE-4/0/3,10.29.3.238/30,DISTRIBUTION & VAS ROUTERS,ALMAZA-R10J-C-EG,XE-2/0/1,10.29.3.237/30,ALMAZA...C,EDGE,Downlink
ALMAZA-R40J-C-EG,JUNIPER_MPLS,10.45.2.78,ALMAZA...C,XE-15/0/3,10.29.4.41/30,DISTRIBUTION & VAS ROUTERS,ALMAZA-R13J-C-EG,XE-2/0/0,10.29.4.42/30,ALMAZA...C,EDGE,Downlink
ALMAZA-R40J-C-EG,JUNIPER_MPLS,10.45.2.78,ALMAZA...C,XE-6/0/7,10.29.4.45/30,DISTRIBUTION & VAS ROUTERS,ALMAZA-R13J-C-EG,XE-2/0/1,10.29.4.46/30,ALMAZA...C,EDGE,Downlink
ALMAZA-R40J-C-EG,JUNIPER_MPLS,10.45.2.78,ALMAZA...C,ET-1/2/3,10.39.220.93/30,DISTRIBUTION & VAS ROUTERS,MARG-R31J-C-EG,ET-7/0/1,10.39.220.94/30,MARG...C,BIG EDGE,Downlink
ALMAZA-R40J-C-EG,JUNIPER_MPLS,10.45.2.78,ALMAZA...C,ET-1/0/4,10.39.4.141/30,DISTRIBUTION & VAS ROUTERS,MARG-R31J-C-EG,ET-7/0/0,10.39.4.142/30,MARG...C,BIG EDGE,Downlink
QNAWEST-R30J-KN-EG,JUNIPER_MPLS,10.45.16.90,QENAWEST...KN,GE-11/2/6,10.39.32.153/30,BIG EDGE,ABORMDA-R01J-BA-EG,GE-0/0/1,10.39.32.154/30,ABOURAMAD...BA,EDGE,Downlink
QNAWEST-R30J-KN-EG,JUNIPER_MPLS,10.45.16.90,QENAWEST...KN,GE-11/3/2,10.39.43.162/30,BIG EDGE,OMRA-R01J-KN-EG,GE-0/0/0,10.39.43.161/30,OMRA...KN,EDGE,Downlink
QNAWEST-R30J-KN-EG,JUNIPER_MPLS,10.45.16.90,QENAWEST...KN,GE-2/3/3,10.39.43.166/30,BIG EDGE,OMRA-R01J-KN-EG,GE-0/0/1,10.39.43.165/30,OMRA...KN,EDGE,Downlink
